along_x,sign,team,lane,gap,enemy_hold,status,start_s,ready_s,exchange_s,end_s,front_loss,formation_loss,front_routed,reserve_routed,last_phase,battle_ended
0,-1.000,0,1,1,1,restored,0.017,0.017,11.617,11.617,1.085,31.476,0,0,3,0
0,-1.000,0,1,1,0,aborted,0.017,0.017,-1.000,16.033,1.085,52.997,0,1,2,0
0,-1.000,0,1,0,1,exchanged_interrupted,0.017,3.417,15.017,18.417,4.985,48.976,0,0,5,0
0,-1.000,0,1,0,0,aborted,0.017,3.417,-1.000,18.950,4.985,71.734,0,1,3,0
0,-1.000,0,2,1,1,restored,0.017,0.017,11.617,11.617,1.085,29.927,0,0,3,0
0,-1.000,0,2,1,0,restored,0.017,0.017,11.617,11.617,1.085,38.127,0,0,3,0
0,-1.000,0,2,0,1,exchanged_interrupted,0.017,6.817,18.417,30.367,8.734,69.826,0,1,5,0
0,-1.000,0,2,0,0,aborted,0.017,6.817,-1.000,29.417,8.734,90.276,0,1,2,0
0,-1.000,0,3,1,1,restored,0.017,0.017,11.617,11.617,0.906,31.037,0,0,3,0
0,-1.000,0,3,1,0,aborted,0.017,0.017,-1.000,16.050,0.906,54.214,0,1,2,0
0,-1.000,0,3,0,1,exchanged_interrupted,0.017,3.417,15.017,18.417,4.732,48.548,0,0,5,0
0,-1.000,0,3,0,0,aborted,0.017,3.417,-1.000,18.967,4.732,71.700,0,1,3,0
0,-1.000,1,1,1,1,restored,0.017,0.017,11.617,11.617,2.034,32.928,0,0,3,0
0,-1.000,1,1,1,0,aborted,0.017,0.017,-1.000,15.867,2.034,56.789,0,1,2,0
0,-1.000,1,1,0,1,exchanged_interrupted,0.017,3.417,15.017,18.417,5.940,49.966,0,0,5,0
0,-1.000,1,1,0,0,aborted,0.017,3.417,-1.000,18.783,5.940,74.880,0,1,3,0
0,-1.000,1,2,1,1,restored,0.017,0.017,11.617,11.617,2.034,29.370,0,0,3,0
0,-1.000,1,2,1,0,aborted,0.017,0.017,-1.000,15.617,2.034,52.238,0,1,2,0
0,-1.000,1,2,0,1,aborted,0.017,6.817,-1.000,28.767,9.676,69.145,0,1,3,0
0,-1.000,1,2,0,0,aborted,0.017,6.817,-1.000,28.783,9.676,87.057,0,1,2,0
0,-1.000,1,3,1,1,restored,0.017,0.017,11.617,11.617,2.034,32.928,0,0,3,0
0,-1.000,1,3,1,0,aborted,0.017,0.017,-1.000,15.867,2.034,56.789,0,1,2,0
0,-1.000,1,3,0,1,exchanged_interrupted,0.017,3.417,15.017,18.417,5.940,49.966,0,0,5,0
0,-1.000,1,3,0,0,aborted,0.017,3.417,-1.000,18.783,5.940,74.880,0,1,3,0
0,1.000,0,1,1,1,restored,0.017,0.017,11.617,11.617,2.034,32.928,0,0,3,0
0,1.000,0,1,1,0,aborted,0.017,0.017,-1.000,15.867,2.034,56.789,0,1,2,0
0,1.000,0,1,0,1,exchanged_interrupted,0.017,3.417,15.017,18.417,5.940,49.966,0,0,5,0
0,1.000,0,1,0,0,aborted,0.017,3.417,-1.000,18.783,5.940,74.880,0,1,3,0
0,1.000,0,2,1,1,restored,0.017,0.017,11.617,11.617,2.034,29.370,0,0,3,0
0,1.000,0,2,1,0,aborted,0.017,0.017,-1.000,15.583,2.034,51.049,0,1,2,0
0,1.000,0,2,0,1,exchanged_interrupted,0.017,6.817,18.417,29.150,9.676,69.461,0,1,5,0
0,1.000,0,2,0,0,aborted,0.017,6.817,-1.000,19.850,14.014,74.594,1,0,2,0
0,1.000,0,3,1,1,restored,0.017,0.017,11.617,11.617,2.034,32.928,0,0,3,0
