configuration,seconds,team,front,reserve,reserve_ready,front_route,reserve_route,reserve_routed,reserve_resting,reserve_fatigue,reserve_strength,reserve_morale,forward_gap,distance,left_blocked_leg,left_blocker_team,left_blocker_id,right_blocked_leg,right_blocker_team,right_blocker_id
0,6.017,0,24,19,1,0,1,0,0,0.000,20.000,100.000,8.351,9.371,1,0,18,2,1,2
0,6.017,1,0,5,1,0,1,0,0,0.000,20.000,85.000,8.351,9.371,2,0,22,1,1,6
0,7.017,0,24,19,1,0,1,0,0,0.000,20.000,100.000,8.351,10.314,2,1,2,2,1,2
0,7.017,1,0,5,1,0,1,0,0,0.000,20.000,85.000,8.351,10.314,2,0,22,2,0,22
0,9.017,1,1,6,1,0,0,0,0,0.000,20.000,85.000,5.336,5.336,1,1,10,1,1,7
0,10.017,1,1,6,1,0,0,0,0,0.000,20.000,85.000,5.208,5.216,1,1,10,1,1,7
0,11.017,1,1,6,1,0,0,0,0,0.000,20.000,85.000,4.660,4.877,1,1,10,1,-2,-1
0,12.017,0,23,18,1,5,4,0,0,0.000,20.000,100.000,5.336,5.355,1,0,17,0,-1,-1
0,12.017,1,1,6,1,0,0,0,0,0.000,20.000,85.000,4.660,4.877,1,1,10,1,-2,-1
0,13.017,0,23,18,1,5,4,0,0,0.000,20.000,100.000,5.336,5.792,1,0,17,0,-1,-1
0,13.017,1,4,9,1,0,2,0,0,0.000,20.000,85.000,1.422,7.429,1,-2,-1,3,-2,-1
0,14.017,0,23,18,1,5,4,0,0,0.000,20.000,100.000,5.336,6.701,1,0,17,3,-2,-1
0,14.017,1,4,9,1,0,2,0,0,0.000,20.000,85.000,-0.210,6.958,1,-2,-1,3,-2,-1
0,15.017,0,21,16,1,0,0,0,0,0.000,20.000,100.000,12.772,12.999,2,0,20,1,0,17
0,15.017,0,23,18,1,5,4,0,0,0.000,20.000,100.000,4.766,7.096,2,-2,-1,3,-2,-1
0,15.017,1,4,9,1,0,2,0,0,0.000,20.000,85.000,-1.289,5.663,1,-2,-1,3,-2,-1
0,16.017,0,21,16,1,0,0,0,0,0.000,20.000,100.000,12.772,12.999,2,0,20,1,0,17
0,16.017,0,23,18,1,5,4,0,0,0.000,20.000,100.000,2.966,6.017,1,-2,-1,3,-2,-1
0,16.017,1,4,9,1,0,2,0,0,0.133,19.893,84.710,-2.206,4.824,1,-2,-1,3,-2,-1
0,17.017,0,21,16,1,0,0,0,0,0.000,20.000,100.000,12.772,12.999,2,0,20,1,0,17
0,17.017,0,23,18,1,5,4,0,0,0.000,20.000,100.000,1.166,5.343,1,-2,-1,3,-2,-1
0,17.017,1,2,7,1,0,0,0,0,0.000,20.000,55.500,9.558,9.863,1,1,1,1,1,8
0,17.017,1,4,9,1,0,2,0,0,1.133,19.072,82.570,-2.206,4.824,1,-2,-1,3,-2,-1
0,18.017,0,21,16,1,0,0,0,0,0.000,20.000,100.000,12.772,12.999,2,0,20,1,0,17
0,18.017,0,23,18,1,5,4,0,0,0.217,19.922,99.561,-0.630,5.231,1,-2,-1,3,-2,-1
0,18.017,1,2,7,1,0,0,0,0,0.000,20.000,49.501,10.226,10.612,1,1,1,1,1,1
0,18.017,1,4,9,0,0,2,0,0,2.133,18.510,81.137,-2.206,4.824,1,-2,-1,3,-2,-1
0,19.017,0,21,16,1,0,0,0,0,0.000,20.000,100.000,12.772,12.999,2,0,20,1,0,17
0,19.017,0,23,18,1,5,4,0,0,0.217,19.699,98.614,-2.430,5.713,1,-2,-1,3,-2,-1
0,19.017,1,2,7,1,0,0,0,0,0.000,20.000,43.501,10.226,10.612,1,1,1,1,1,1
0,19.017,1,4,9,0,0,2,0,0,3.133,18.510,81.137,-2.206,4.824,1,-2,-1,3,-2,-1
0,20.017,0,21,16,1,0,0,0,0,0.000,20.000,100.000,12.772,12.999,2,0,20,1,0,17
0,20.017,0,23,18,1,5,4,0,0,0.917,19.220,97.157,-2.970,5.958,1,-2,-1,3,-2,-1
0,20.017,1,4,9,0,0,2,0,0,4.133,18.510,81.137,-2.206,4.824,1,-2,-1,3,-2,-1
0,21.017,0,23,18,1,5,4,0,0,0.917,18.773,95.763,-4.770,7.014,2,-2,-1,1,1,3
0,21.017,1,4,9,0,0,2,0,0,5.133,18.510,81.137,-2.206,4.824,1,-2,-1,3,-2,-1
0,22.017,0,23,18,1,5,4,0,0,0.917,17.072,91.861,-5.336,6.613,1,0,22,1,1,3
0,22.017,1,4,9,0,0,2,0,0,5.717,18.510,81.137,-2.206,4.824,1,-2,-1,3,-2,-1
0,23.017,0,23,18,1,5,4,0,0,0.917,16.687,90.824,-5.336,5.736,1,0,22,1,1,3
0,23.017,1,3,8,1,0,0,0,0,0.000,20.000,69.200,9.181,9.675,1,1,1,2,1,1
0,23.017,1,4,9,0,0,2,0,0,5.717,18.510,81.137,-2.206,4.824,1,-2,-1,3,-2,-1
0,24.017,0,23,18,1,5,4,0,0,0.917,16.648,90.706,-5.336,5.345,1,0,22,1,1,3
0,24.017,1,3,8,1,0,0,0,0,0.000,20.000,69.200,9.790,10.811,1,1,1,2,1,1
