configuration,swapped,team,seconds,winner,strength,routed,exchanges,rest_started,rest_completed,reused,disengaged,regrouped,charges,attack_group_seconds,rest_group_seconds,blocked_group_seconds,fatigue_recovered,mean_attack_efficiency,relief_started,relief_aborted,front_rout_aborts,reserve_rout_aborts,worn_front_group_seconds,displaced_worn_front_group_seconds,last_attack_s
0,0,0,44.900,0,387.345,4,1,1,0,0,0,0,0,60.300,20.667,131.450,29.125,92.282,1,0,0,0,48.383,43.733,38.917
0,1,0,44.900,1,398.478,15,0,0,0,0,0,0,1,72.150,0.000,66.800,3.450,89.093,0,0,0,0,23.367,23.367,43.633
0,0,1,44.900,0,398.478,15,0,0,0,0,0,0,1,72.150,0.000,66.800,3.450,89.093,0,0,0,0,23.367,23.367,43.633
0,1,1,44.900,1,387.345,4,1,1,0,0,0,0,0,60.300,20.667,131.450,29.125,92.282,1,0,0,0,48.383,43.733,38.917
1,0,0,62.267,0,373.840,11,0,0,0,0,0,0,0,56.217,0.000,136.967,33.924,91.833,0,0,0,0,44.100,27.250,52.683
1,1,0,62.267,1,373.887,17,0,0,0,0,0,0,0,58.983,0.000,155.300,26.583,90.979,0,0,0,0,48.983,32.133,46.650
1,0,1,62.267,0,373.887,17,0,0,0,0,0,0,0,58.983,0.000,155.300,26.583,90.979,0,0,0,0,48.983,32.133,46.650
1,1,1,62.267,1,373.840,11,0,0,0,0,0,0,0,56.217,0.000,136.967,33.924,91.833,0,0,0,0,44.100,27.250,52.683
2,0,0,180.000,-1,306.965,12,0,0,0,0,0,0,2,72.483,0.000,199.450,150.000,87.709,0,0,0,0,28.167,28.167,69.333
2,1,0,180.000,-1,323.806,12,0,0,0,0,0,0,2,72.850,0.000,150.183,150.000,87.570,0,0,0,0,28.167,28.167,78.383
2,0,1,180.000,-1,323.806,12,0,0,0,0,0,0,2,72.850,0.000,150.183,150.000,87.570,0,0,0,0,28.167,28.167,78.383
2,1,1,180.000,-1,306.965,12,0,0,0,0,0,0,2,72.483,0.000,199.450,150.000,87.709,0,0,0,0,28.167,28.167,69.333
