seconds,team,group,morale,fatigue,strength,nearest_enemy,time_since_damage,nearby_routs,routed,relocating,blocked
24.250,0,23,23.977,8.700,8.154,10.425,8.300,0,0,0,0
25.017,0,23,26.277,7.933,8.154,10.425,9.067,0,0,0,0
26.017,0,23,29.277,6.933,8.154,10.425,10.067,0,0,0,0
27.017,0,23,32.277,5.933,8.154,15.932,11.067,0,0,0,0
28.017,0,23,35.277,4.933,8.154,14.769,12.067,0,0,0,0
29.017,0,23,38.277,3.933,8.154,14.769,13.067,0,0,0,0
30.017,0,23,41.277,2.933,8.154,14.889,14.067,0,0,0,0
31.017,0,23,44.277,1.933,8.154,16.683,15.067,0,0,0,0
32.017,0,23,47.277,0.933,8.154,17.169,16.067,0,0,0,0
33.017,0,23,50.277,0.000,8.154,20.274,17.067,0,0,0,0
34.017,0,23,45.027,0.000,8.154,21.619,18.067,1,0,1,0
35.017,0,23,39.027,0.000,8.154,21.462,19.067,1,0,1,0
36.017,0,23,33.027,0.000,8.154,19.917,20.067,1,0,1,0
37.017,0,23,27.027,0.000,8.154,18.163,21.067,1,0,1,0
38.017,0,23,21.027,0.000,8.154,16.419,22.067,1,0,1,0
39.017,0,23,18.927,0.000,8.154,22.189,23.067,0,0,1,0
40.017,0,23,20.377,0.000,8.154,24.223,24.067,0,0,0,0
41.017,0,23,23.377,0.000,8.154,24.223,25.067,0,0,0,0
42.017,0,23,26.377,0.000,8.154,28.398,26.067,0,0,0,0
43.017,0,23,29.377,0.000,8.154,28.398,27.067,0,0,0,0
44.017,0,23,32.377,0.000,8.154,28.398,28.067,0,0,0,0
