configuration,swapped,team,seconds,winner,strength,routed,exchanges,rest_started,rest_completed,reused,disengaged,regrouped,charges,attack_group_seconds,rest_group_seconds,blocked_group_seconds,fatigue_recovered,mean_attack_efficiency,relief_started,relief_aborted,front_rout_aborts,reserve_rout_aborts,worn_front_group_seconds,displaced_worn_front_group_seconds,last_attack_s
0,0,0,45.283,0,384.434,5,1,1,0,0,0,0,0,60.883,21.050,143.133,24.942,92.248,1,0,0,0,48.767,43.717,40.617
0,1,0,45.283,1,390.654,15,0,0,0,0,0,0,1,71.800,0.000,66.800,3.450,89.195,0,0,0,0,23.367,23.367,43.633
0,0,1,45.283,0,390.654,15,0,0,0,0,0,0,1,71.800,0.000,66.800,3.450,89.195,0,0,0,0,23.367,23.367,43.633
0,1,1,45.283,1,384.434,5,1,1,0,0,0,0,0,60.883,21.050,143.133,24.942,92.248,1,0,0,0,48.767,43.717,40.617
1,0,0,62.267,0,373.840,11,0,0,0,0,0,0,0,56.250,0.000,136.967,35.858,91.814,0,0,0,0,44.100,27.250,52.683
1,1,0,62.267,1,371.710,16,0,0,0,0,0,0,0,59.000,0.000,155.217,26.625,90.971,0,0,0,0,48.933,32.083,62.200
1,0,1,62.267,0,371.710,16,0,0,0,0,0,0,0,59.000,0.000,155.217,26.625,90.971,0,0,0,0,48.933,32.083,62.200
1,1,1,62.267,1,373.840,11,0,0,0,0,0,0,0,56.250,0.000,136.967,35.858,91.814,0,0,0,0,44.100,27.250,52.683
2,0,0,60.983,0,336.983,7,0,0,0,0,0,0,2,72.350,0.000,203.117,0.000,87.760,0,0,0,0,28.167,28.167,60.617
2,1,0,60.983,1,335.686,15,0,0,0,0,0,0,2,72.350,0.000,183.967,0.000,87.760,0,0,0,0,28.167,28.167,60.567
2,0,1,60.983,0,335.686,15,0,0,0,0,0,0,2,72.350,0.000,183.967,0.000,87.760,0,0,0,0,28.167,28.167,60.567
2,1,1,60.983,1,336.983,7,0,0,0,0,0,0,2,72.350,0.000,203.117,0.000,87.760,0,0,0,0,28.167,28.167,60.617
